Name,W,L,ERA,G,GS,SV,IP,H,HR,BB,SO
Doug Drabek\drabedo01,6,11,7.29,23,21,0,108.2,138,20,29,55
Darren Dreifort\dreifda01,8,12,4,32,26,0,180,171,12,57,168
Roberto Duran*\duranro01,0,1,5.87,18,0,0,15.1,9,0,17,12
Mike Duvall*\duvalmi01,0,0,6.75,3,0,0,4,4,0,2,1
Radhames Dykhoff*\dykhora01,0,0,18,1,0,0,1,2,0,1,1
Dennis Eckersley\eckerde01,4,1,4.76,50,0,1,39.2,46,6,8,22
Brian Edmondson\edmonbr01,4,4,3.91,53,0,0,76,76,10,37,40
Brian Edmondson\edmonbr01,0,1,4.32,10,0,0,16.2,14,2,8,8
Brian Edmondson\edmonbr01,4,3,3.79,43,0,0,59.1,62,8,29,32
Dave Eiland\eilanda01,0,1,20.25,1,1,0,2.2,6,0,3,1
Scott Elarton\elartsc01,2,1,3.32,28,2,2,57,40,5,20,56
Cal Eldred\eldreca01,4,8,4.8,23,23,0,133,157,14,61,86
Alan Embree*\embreal01,4,2,4.19,55,0,1,53.2,56,7,23,43
Alan Embree*\embreal01,1,0,4.34,20,0,0,18.2,23,2,10,19
Alan Embree*\embreal01,3,2,4.11,35,0,1,35,33,5,13,24
Todd Erdos\erdosto01,0,0,9,2,0,0,2,5,0,1,0
Scott Erickson\ericksc01,16,13,4.01,36,36,0,251.1,284,23,69,186
Kelvim Escobar\escobke01,7,3,3.73,22,10,0,79.2,72,5,35,72
Shawn Estes*\estessh01,7,12,5.06,25,25,0,149.1,150,14,80,136
Bart Evans\evansba02,0,0,2,8,0,0,9,7,1,0,7
Bryan Eversgerd*\eversbr01,0,0,9,8,0,0,6,9,1,2,4
Scott Eyre*\eyresc01,3,8,5.38,33,17,0,107,114,24,64,73
Jeff Fassero*\fasseje01,13,12,3.97,32,32,0,224.2,223,33,66,176
Mike Fetters\fettemi01,2,8,4.3,60,0,5,58.2,62,5,25,43
Mike Fetters\fettemi01,1,6,3.99,48,0,5,47.1,48,3,21,34
Mike Fetters\fettemi01,1,2,5.56,12,0,0,11.1,14,2,4,9
Chuck Finley*\finlech01,11,9,3.39,34,34,0,223.1,210,20,109,212
Bryce Florie\floribr01,8,9,4.8,42,16,0,133,141,16,59,97
Joe Fontenot\fontejo01,0,7,6.33,8,8,0,42.2,56,5,20,24
Ben Ford\fordbe01,0,0,9.9,8,0,0,10,13,2,3,5
Tom Fordham*\fordhto01,1,2,6.75,29,5,0,48,51,7,42,23
Tony Fossas*\fossato01,1,3,5.96,41,0,0,22.2,30,1,16,23
Tony Fossas*\fossato01,1,3,5.3,33,0,0,18.2,22,1,10,17
Tony Fossas*\fossato01,0,3,8.74,23,0,0,11.1,19,1,6,10
Tony Fossas*\fossato01,0,0,9,8,0,0,4,8,0,6,6
Tony Fossas*\fossato01,1,0,0,10,0,0,7.1,3,0,4,7
Kevin Foster\fosteke01,0,0,16.2,3,0,0,3.1,8,1,2,3
Keith Foulke\foulkke01,3,2,4.13,54,0,1,65.1,51,9,20,57
Chad Fox\foxch02,1,4,3.95,49,0,0,57,56,4,20,64
John Franco*\francjo01,0,8,3.62,61,0,38,64.2,66,4,29,59
John Frascatore\frascjo01,3,4,4.14,69,0,0,95.2,95,11,36,49
Chris Fussell\fussech01,0,1,8.38,3,2,0,9.2,11,1,9,8
