Name,POS,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS
Rick Wilkins*\wilkiri01,/32D,19,41,5,8,1,4,0,4,0.195,0.261,0.341,0.602
Rick Wilkins*\wilkiri01,/2,5,15,3,2,0,1,0,2,0.133,0.235,0.133,0.369
Bernie Williams#\willibe02,*8/D,128,499,101,169,26,97,15,74,0.339,0.422,0.575,0.997
Eddie Williams\willied01,/3,17,28,1,4,0,3,0,2,0.143,0.194,0.143,0.336
Gerald Williams\willige02,*978,129,266,46,81,10,44,11,17,0.305,0.352,0.504,0.856
Matt Williams\willima04,*5,135,510,72,136,20,71,5,43,0.267,0.327,0.439,0.766
Mike Williams\willimi03,1,37,3,0,0,0,0,0,0,0,0,0,0
Reggie Williams#\willire02,7/8D9,29,36,7,13,1,5,3,7,0.361,0.477,0.472,0.949
Todd Williams\willito02,/1,6,2,0,0,0,0,0,0,0,0,0,0
Woody Williams\williwo02,1,2,6,0,2,0,0,0,0,0.333,0.333,0.333,0.667
Craig Wilson\wilsocr02,/645,13,47,14,22,3,10,1,3,0.468,0.49,0.766,1.256
Dan Wilson\wilsoda01,2,96,325,39,82,9,44,2,24,0.252,0.308,0.394,0.702
Enrique Wilson#\wilsoen01,46/5,32,90,13,29,2,12,2,4,0.322,0.354,0.456,0.81
Preston Wilson\wilsopr01,/879,22,51,7,8,1,3,1,6,0.157,0.259,0.255,0.514
Preston Wilson\wilsopr01,/789,8,20,3,6,0,2,1,2,0.3,0.364,0.4,0.764
Preston Wilson\wilsopr01,/879,14,31,4,2,1,1,0,4,0.065,0.194,0.161,0.356
Scott Winchester\winchsc01,1,15,23,0,3,0,1,0,0,0.13,0.167,0.13,0.297
Randy Winn#\winnra01,879/D,109,338,51,94,1,17,26,29,0.278,0.337,0.367,0.704
Darrin Winston\winstda01,1,27,1,0,0,0,0,0,0,0,0,0,0
Bobby Witt\wittbo01,1,17,11,0,2,0,1,0,1,0.182,0.25,0.273,0.523
Bobby Witt\wittbo01,1,1,1,0,0,0,0,0,0,0,0,0,0
Bobby Witt\wittbo01,1,16,10,0,2,0,1,0,1,0.2,0.273,0.3,0.573
Kevin Witt*\wittke01,/3,5,7,0,1,0,0,0,0,0.143,0.143,0.143,0.286
Mark Wohlers\wohlema01,1,26,0,0,0,0,0,0,0,,,,
Bob Wolcott\wolcobo01,/1,5,9,1,2,0,0,0,0,0.222,0.222,0.222,0.444
Tony Womack*\womacto01,*4/86,159,655,85,185,3,45,58,38,0.282,0.319,0.357,0.677
Jason Wood\woodja02,/3D65,13,24,6,8,1,1,0,3,0.333,0.407,0.542,0.949
Jason Wood\woodja02,/65,3,1,1,0,0,0,0,0,0,0,0,0
Jason Wood\woodja02,/3D6,10,23,5,8,1,1,0,3,0.348,0.423,0.565,0.988
Kerry Wood\woodke02,1,24,54,3,7,2,8,0,1,0.13,0.145,0.241,0.386
Brad Woodall#\woodabr01,1/D,35,38,7,9,1,2,0,4,0.237,0.31,0.342,0.652
Steve Woodard*\woodast01,1,33,50,1,7,0,4,0,0,0.14,0.14,0.18,0.32
Tim Worrell\worreti01,1,1,0,0,0,0,0,0,0,,,,
Tim Worrell\worreti01,1,1,0,0,0,0,0,0,0,,,,
Jamey Wright\wrighja01,1,33,57,5,10,1,4,0,3,0.175,0.217,0.298,0.515
Jaret Wright\wrighja02,1,2,7,2,3,0,1,0,0,0.429,0.429,0.429,0.857
Esteban Yan\yanes01,1,3,0,0,0,0,0,0,0,,,,
Masato Yoshii\yoshima01,1,27,48,3,3,0,3,0,3,0.063,0.118,0.083,0.201
Dmitri Young#\youngdm01,739,144,536,81,166,14,83,2,47,0.31,0.364,0.481,0.846
Eric Young\younger01,*4/D,117,452,78,129,8,43,42,45,0.285,0.355,0.396,0.751
Ernie Young\younger02,32021,25,53,2,10,1,3,2,2,0.189,0.232,0.302,0.534
Kevin Young\youngke01,*3,159,592,88,160,27,108,15,44,0.27,0.328,0.481,0.809
Tim Young*\youngti01,1,10,0,0,0,0,0,0,0,,,,
Gregg Zaun#\zaungr01,42770,106,298,19,56,5,29,5,35,0.188,0.274,0.292,0.566
Todd Zeile\zeileto01,*5/3,158,572,85,155,19,94,4,69,0.271,0.35,0.437,0.787
Todd Zeile\zeileto01,42858,106,392,59,108,13,66,3,41,0.276,0.345,0.431,0.777
Todd Zeile\zeileto01,42858,40,158,22,40,7,27,1,10,0.253,0.3,0.437,0.737
Todd Zeile\zeileto01,5,66,234,37,68,6,39,2,31,0.291,0.374,0.427,0.801
